tick,node_id,Helmet_ID,Temp_C,Humidity_Percent,CH4_ppm,H2S_ppm,CO_ppm,VOC_ppm,Pressure_hPa,Mud_Level_cm,Mud_Viscosity_Index,Mud_Salinity_uS_cm,Accel_Z_g,Light_lux,Impact_N,Fluid_Level_cm,node_online
0,A,HM-A104,35.625,53.357,2.645,0.0175,3.906,155.91,1012.695,13.289,6.91,962.432,0.9565,27.448,0.562,12.452,1
0,B,HM-B210,35.322,54.398,2.643,0.028,4.107,200.372,1013.122,12.294,7.157,884.952,0.9607,18.164,0.965,13.567,1
0,C,HM-C305,37.796,57.16,2.066,0.0125,3.147,157.652,1012.999,13.265,6.643,1021.711,0.9804,27.016,1.091,10.902,1
0,D,HM-D118,37.458,49.33,2.605,0.0271,3.448,193.742,1014.978,14.33,7.853,902.117,1.0692,23.043,0.877,13.416,1
0,E,HM-E441,35.704,53.37,2.778,0.0234,3.913,162.954,1013.586,11.396,6.628,991.434,0.9707,25.775,0.845,14.687,1
0,F,HM-F087,35.956,41.153,3.047,0.021,3.641,166.512,1013.34,14.125,7.273,955.913,1.0239,18.806,0.925,12.314,1
1,A,HM-A104,36.603,59.735,2.717,0.0147,4.325,218.387,1014.548,11.453,6.716,960.023,0.9515,18.76,0.775,11.795,1
1,B,HM-B210,36.597,50.382,2.251,0.0169,3.751,228.341,1012.132,16.088,7.979,995.466,1.0605,23.06,0.586,13.836,1
1,C,HM-C305,37.385,53.927,2.638,0.0181,3.741,258.991,1012.524,14.493,6.873,924.792,1.0177,24.442,1.207,11.48,1
1,D,HM-D118,36.156,51.573,2.453,0.0226,4.061,129.455,1012.744,15.907,7.036,935.372,0.9929,20.165,0.9,12.695,1
1,E,HM-E441,34.048,50.744,2.485,0.018,3.657,170.479,1012.154,16.122,7.151,911.05,0.9979,26.566,0.531,11.749,1
1,F,HM-F087,36.281,58.166,3.022,0.0154,4.026,189.298,1011.406,8.801,6.695,921.011,0.9987,20.054,1.409,14.391,1
2,A,HM-A104,36.14,55.477,2.367,0.0233,3.551,160.71,1011.914,16.145,7.023,895.872,0.9978,11.726,0.87,12.837,1
2,B,HM-B210,36.949,54.555,2.377,0.0155,4.064,189.715,1014.123,12.849,6.932,959.409,1.0272,20.972,1.002,13.08,1
2,C,HM-C305,34.755,53.895,2.553,0.0265,3.865,184.424,1013.727,13.792,6.907,966.483,0.9502,26.785,0.892,11.588,1
2,D,HM-D118,34.647,56.684,2.858,0.0209,4.196,193.964,1012.795,14.276,6.863,946.1,0.9935,24.885,1.642,11.283,1
2,E,HM-E441,36.575,52.383,3.393,0.0187,3.478,178.828,1012.103,15.325,6.29,918.695,1.0131,21.848,1.181,11.969,1
2,F,HM-F087,34.983,57.629,3.107,0.0209,3.869,200.239,1013.883,14.786,6.855,899.088,1.0322,15.722,1.034,12.274,1
3,A,HM-A104,34.324,49.878,3.099,0.0219,3.847,204.0,1012.082,12.28,6.624,947.07,1.0272,34.948,1.273,12.209,1
3,B,HM-B210,36.096,56.18,3.023,0.0164,2.838,264.833,1014.194,12.424,6.833,897.094,0.9778,28.588,0.839,11.144,1
3,C,HM-C305,36.055,55.024,2.615,0.0314,3.717,157.925,1013.855,12.78,6.718,943.004,1.0319,28.019,1.296,11.715,1
3,D,HM-D118,37.44,54.751,2.877,0.0153,2.876,199.893,1011.964,14.916,6.962,963.839,1.0304,17.285,1.5,10.747,1
3,E,HM-E441,35.576,56.226,2.533,0.0199,4.349,184.718,1014.108,13.121,6.339,924.129,0.9694,24.842,0.766,12.103,1
3,F,HM-F087,36.603,56.586,2.774,0.0172,2.907,204.133,1013.506,12.915,7.24,885.937,1.017,16.358,1.282,9.944,1
4,A,HM-A104,36.938,54.584,2.924,0.0285,3.239,206.437,1013.771,13.398,6.507,975.477,0.9712,21.508,0.836,11.845,1
4,B,HM-B210,36.991,50.689,2.567,0.0219,4.525,159.048,1013.442,14.871,6.447,963.335,1.0394,29.404,1.659,12.128,1
4,C,HM-C305,34.117,50.721,2.201,0.0136,3.295,219.862,1014.078,13.104,6.804,992.63,0.992,34.818,1.611,13.36,1
4,D,HM-D118,32.958,50.193,2.762,0.0209,3.349,266.787,1011.993,13.372,6.965,922.727,0.9963,24.352,0.205,10.059,1
4,E,HM-E441,34.682,53.019,2.204,0.0215,3.487,167.365,1014.688,14.061,7.724,915.879,0.9669,29.329,0.974,11.941,1
4,F,HM-F087,36.816,49.69,3.097,0.0304,3.436,176.88,1012.766,12.914,6.256,931.723,0.9522,22.906,1.827,9.431,1
5,A,HM-A104,37.241,52.164,1.744,0.0197,4.758,173.546,1010.544,15.842,7.843,1002.522,1.0662,17.442,1.006,12.815,1
5,B,HM-B210,35.724,58.071,3.096,0.0178,3.763,175.885,1012.979,13.553,6.619,951.004,0.9864,21.426,0.829,11.894,1
5,C,HM-C305,34.962,57.4,3.122,0.0258,3.295,204.79,1013.476,15.215,6.601,992.902,1.0003,30.4,0.849,13.291,1
5,D,HM-D118,35.181,52.812,2.7,0.0162,3.413,198.184,1012.713,13.864,7.386,1006.154,0.9429,17.507,0.574,12.268,1
5,E,HM-E441,36.725,47.83,2.55,0.0202,3.666,217.69,1012.812,13.376,7.439,941.41,1.0777,23.568,1.661,12.82,1
5,F,HM-F087,34.919,57.977,2.574,0.0217,3.513,207.19,1012.336,14.686,6.28,968.301,0.9264,32.377,0.655,11.656,1
6,A,HM-A104,36.93,50.742,3.035,0.0188,2.798,186.935,1012.216,14.402,6.335,1009.315,0.9934,18.941,1.497,12.562,1
6,B,HM-B210,36.342,50.513,2.242,0.0203,3.771,198.029,1012.832,13.905,6.971,925.236,0.9998,17.102,0.232,12.311,1
6,C,HM-C305,34.585,48.131,2.69,0.0283,4.038,225.914,1013.457,14.415,7.105,964.499,0.9887,22.32,0.868,11.959,1
6,D,HM-D118,35.989,58.54,2.665,0.0204,4.16,219.765,1012.864,13.608,6.911,959.678,0.9304,28.155,1.31,12.355,1
6,E,HM-E441,35.346,50.774,2.126,0.0151,4.388,199.856,1013.222,14.502,6.43,932.714,0.9866,30.804,0.377,15.266,1
6,F,HM-F087,36.008,46.986,2.43,0.0161,3.679,224.163,1012.851,14.499,6.879,940.507,0.919,22.589,1.722,13.642,1
7,A,HM-A104,36.537,49.43,3.355,0.0246,3.211,170.855,1011.784,15.921,7.21,982.735,1.0183,17.09,1.038,10.16,1
7,B,HM-B210,36.441,51.672,3.018,0.016,3.975,133.108,1011.353,12.369,6.847,969.893,1.018,30.189,0.592,10.992,1
7,C,HM-C305,34.853,59.312,3.607,0.0185,3.622,219.917,1014.543,11.756,6.83,879.417,0.9514,29.92,1.392,12.848,1
7,D,HM-D118,37.011,48.373,2.867,0.0133,3.908,241.355,1014.524,13.269,6.946,988.891,0.969,18.328,1.27,12.505,1
7,E,HM-E441,36.213,47.701,2.726,0.0214,4.016,207.154,1012.771,14.001,7.341,915.498,1.0244,27.184,1.475,11.573,1
7,F,HM-F087,36.032,45.45,3.048,0.0132,3.826,194.774,1014.021,13.794,6.766,983.809,1.0033,19.847,1.461,9.937,1
8,A,HM-A104,33.13,55.91,2.868,0.0175,4.221,236.767,1015.912,12.933,7.202,925.992,0.9746,13.115,1.058,11.702,1
8,B,HM-B210,35.434,54.642,2.664,0.0173,4.379,184.964,1011.606,11.888,7.194,930.51,0.9564,25.781,0.449,12.192,1
8,C,HM-C305,33.913,50.088,2.348,0.0161,4.412,241.209,1013.92,15.21,7.61,929.697,0.9095,15.463,1.332,10.525,1
8,D,HM-D118,37.227,57.42,3.059,0.0163,3.996,220.727,1012.674,13.856,6.597,983.406,1.0345,19.238,0.724,12.474,1
8,E,HM-E441,34.92,47.318,2.535,0.0241,3.743,200.357,1013.204,14.17,6.783,1002.049,1.027,15.068,1.158,10.26,1
8,F,HM-F087,36.09,52.231,2.475,0.0239,3.24,176.566,1013.857,13.935,7.137,944.403,0.9451,25.937,1.378,12.874,1
9,A,HM-A104,34.275,46.187,2.995,0.0186,3.285,229.574,1012.402,14.432,6.265,898.159,1.0132,28.971,0.662,10.567,1
9,B,HM-B210,37.646,59.279,2.49,0.0206,4.095,188.558,1012.217,16.396,7.477,930.953,0.9662,20.609,1.329,12.284,1
9,C,HM-C305,36.935,54.366,2.988,0.0178,3.811,199.648,1012.334,14.141,7.305,957.037,1.0431,23.505,1.687,12.713,1
9,D,HM-D118,35.94,51.352,3.244,0.0159,4.103,201.478,1013.499,15.659,6.811,953.282,0.9858,26.567,0.942,11.61,1
9,E,HM-E441,34.956,51.483,3.263,0.0124,3.585,178.829,1013.301,11.076,7.588,934.786,0.9464,30.064,0.99,11.055,1
9,F,HM-F087,35.279,52.38,2.758,0.0174,4.293,189.517,1012.189,16.558,7.013,966.373,0.9822,18.605,0.815,10.868,1
10,A,HM-A104,35.348,47.689,2.829,0.0222,4.179,164.042,1013.409,15.001,7.13,951.487,1.0209,23.208,1.811,13.124,1
10,B,HM-B210,34.376,39.908,2.177,0.0146,3.568,220.578,1014.838,15.343,7.325,930.468,0.9615,27.028,0.814,13.241,1
10,C,HM-C305,34.221,48.28,2.203,0.0232,3.495,183.623,1013.012,14.826,7.715,967.444,1.0142,27.04,0.44,11.398,1
10,D,HM-D118,35.125,50.161,2.503,0.0248,3.843,185.514,1011.55,14.683,7.228,908.074,1.0218,17.869,0.322,11.717,1
10,E,HM-E441,37.01,47.955,2.413,0.0167,4.042,229.961,1011.636,12.482,7.28,989.232,1.0625,25.444,1.532,10.717,1
10,F,HM-F087,34.613,44.576,2.975,0.0198,3.935,202.44,1014.638,16.5,7.065,963.779,1.0039,23.616,0.858,12.492,1
11,A,HM-A104,35.284,56.459,2.8,0.0239,3.148,178.858,1011.378,13.225,6.953,914.944,1.082,25.389,1.094,11.583,1
11,B,HM-B210,36.247,52.426,2.206,0.0217,3.206,227.83,1014.07,15.637,6.581,909.365,1.0231,24.593,0.825,11.574,1
11,C,HM-C305,36.279,53.178,2.653,0.029,2.695,178.117,1013.912,12.25,7.331,1015.986,0.9641,22.534,1.354,13.33,1
11,D,HM-D118,34.387,52.735,2.475,0.027,3.903,203.093,1013.998,15.521,7.246,970.86,1.0315,24.774,0.214,14.104,1
11,E,HM-E441,36.011,54.407,2.572,0.0297,4.185,206.654,1013.446,13.874,7.708,916.333,0.9268,20.139,0.5,12.603,1
11,F,HM-F087,35.634,51.38,2.272,0.0144,4.318,222.196,1012.673,14.803,6.969,922.166,0.9598,24.748,1.452,12.453,1
12,A,HM-A104,35.799,56.788,3.147,0.0252,4.037,183.452,1013.126,15.654,7.459,1009.296,1.0916,27.572,0.076,12.095,1
12,B,HM-B210,35.721,46.321,2.478,0.0197,3.21,220.637,1012.179,13.781,7.216,951.035,1.0123,30.33,1.115,11.212,1
12,C,HM-C305,35.147,55.19,3.054,0.0246,3.847,212.777,1011.676,14.073,7.39,933.098,1.0375,22.726,1.495,12.132,1
12,D,HM-D118,37.209,50.509,3.012,0.0199,3.02,171.028,1011.589,17.172,7.307,931.042,1.0309,23.789,0.265,12.99,1
12,E,HM-E441,37.858,47.958,2.654,0.0219,4.137,195.155,1010.025,17.167,7.404,980.906,1.0429,19.096,0.75,10.592,1
12,F,HM-F087,35.97,50.595,2.323,0.0179,4.077,172.036,1012.378,13.791,7.401,935.515,0.9979,26.965,0.687,13.8,1
13,A,HM-A104,36.058,51.863,2.899,0.0372,2.896,220.133,1012.418,15.401,7.194,985.546,0.9828,25.002,0.437,13.842,1
13,B,HM-B210,37.386,46.413,2.279,0.0171,4.09,233.009,1013.782,16.713,6.712,1007.364,1.0228,24.507,0.668,12.134,1
13,C,HM-C305,35.66,51.413,2.571,0.0312,2.684,176.111,1012.006,17.077,7.136,1007.432,1.0419,30.352,0.684,11.785,1
13,D,HM-D118,35.824,51.866,2.707,0.0256,4.1,191.118,1015.274,13.369,7.075,905.136,1.0094,13.87,0.329,12.548,1
13,E,HM-E441,34.397,56.694,2.796,0.0153,3.984,211.443,1013.428,13.357,7.215,1000.452,0.9498,15.547,1.323,12.159,1
13,F,HM-F087,34.545,49.396,3.2,0.0186,3.603,215.441,1012.106,12.027,6.949,921.101,0.9765,18.309,0.803,12.038,1
14,A,HM-A104,35.056,61.352,2.12,0.0204,4.085,195.948,1012.1,10.092,7.365,950.791,0.982,23.855,1.348,11.432,1
14,B,HM-B210,36.99,53.502,3.063,0.0196,4.529,195.552,1012.355,13.318,6.97,966.677,1.0745,28.647,1.569,11.942,1
14,C,HM-C305,35.675,54.009,2.222,0.0162,3.678,204.657,1012.925,14.831,6.7,989.666,1.002,21.033,1.408,12.118,1
14,D,HM-D118,37.731,49.904,3.222,0.0206,3.569,200.569,1012.936,14.366,7.152,950.404,1.0214,15.793,0.866,12.652,1
14,E,HM-E441,32.184,55.854,3.017,0.0232,4.076,202.749,1011.684,14.106,6.94,967.065,0.9786,20.714,1.464,13.226,1
14,F,HM-F087,38.07,48.608,3.04,0.0275,3.167,168.96,1012.424,12.792,7.528,929.043,1.0001,23.781,1.345,10.616,1
15,A,HM-A104,35.207,58.46,2.835,0.0194,3.568,190.615,1012.547,15.125,6.954,980.645,1.0072,20.184,1.027,12.928,1
15,B,HM-B210,33.896,46.409,2.858,0.0142,3.054,184.289,1012.109,15.425,7.639,925.764,0.9836,22.88,1.083,11.62,1
15,C,HM-C305,37.213,47.078,2.784,0.016,3.854,193.995,1012.508,14.369,7.479,962.249,0.9449,23.587,0.53,13.899,1
15,D,HM-D118,36.521,58.24,2.762,0.0216,3.231,189.943,1014.736,16.259,6.959,935.566,1.0042,15.49,1.118,13.067,1
15,E,HM-E441,35.493,52.588,2.365,0.0205,3.979,209.598,1013.044,13.748,7.455,961.495,0.9247,26.881,1.09,12.573,1
15,F,HM-F087,36.889,53.201,2.382,0.0101,3.72,220.744,1012.486,15.377,7.127,904.512,0.993,24.1,1.152,12.572,1
16,A,HM-A104,36.952,59.707,2.757,0.0304,3.875,138.908,1010.612,15.856,7.194,969.17,0.972,22.542,0.602,13.862,1
16,B,HM-B210,37.524,50.763,2.808,0.0099,3.995,234.794,1012.724,14.263,6.236,934.641,1.008,22.016,1.077,11.714,1
16,C,HM-C305,36.256,49.59,2.508,0.0276,2.994,236.223,1012.184,13.745,7.602,918.348,0.981,26.59,1.088,11.931,1
16,D,HM-D118,35.179,52.796,3.066,0.027,4.944,199.343,1014.428,14.96,7.044,954.332,1.0261,26.549,1.594,10.788,1
16,E,HM-E441,36.642,47.775,2.668,0.018,3.584,144.679,1012.652,12.963,7.335,973.091,0.9306,19.997,1.562,11.271,1
16,F,HM-F087,34.287,48.464,2.842,0.0157,4.016,189.539,1014.086,14.181,6.635,979.428,0.9906,33.899,0.15,12.761,1
17,A,HM-A104,35.697,56.317,2.594,0.0153,3.725,156.497,1012.547,11.497,6.631,969.125,0.943,22.639,0.127,12.786,1
17,B,HM-B210,34.147,50.289,2.897,0.009,3.97,230.678,1014.394,14.847,6.959,923.273,0.9992,32.243,0.281,11.985,1
17,C,HM-C305,35.204,44.012,3.297,0.0255,3.837,222.547,1015.645,12.032,6.716,947.452,0.989,19.422,1.028,11.254,1
17,D,HM-D118,35.915,51.631,2.794,0.0221,3.458,183.229,1011.913,11.794,7.18,949.153,0.9166,25.871,0.573,12.91,1
17,E,HM-E441,34.309,54.798,2.482,0.0283,3.544,200.337,1013.609,16.015,7.723,967.459,0.9387,24.926,1.007,12.409,1
17,F,HM-F087,35.88,46.25,2.516,0.0153,3.5,205.747,1013.094,14.18,6.803,987.765,1.0054,27.406,0.936,12.609,1
18,A,HM-A104,37.244,51.705,2.801,0.0264,4.169,224.549,1013.722,11.873,6.344,931.263,0.9817,26.07,0.946,11.211,1
18,B,HM-B210,35.97,47.768,2.661,0.0242,3.316,173.886,1014.54,10.218,6.688,989.183,0.9404,26.275,1.117,10.271,1
18,C,HM-C305,36.462,50.535,2.554,0.0195,4.423,179.325,1012.882,16.349,6.966,980.901,0.9437,19.171,2.064,10.631,1
18,D,HM-D118,35.581,49.163,2.913,0.0124,4.339,194.198,1014.069,12.66,7.379,981.732,0.8954,19.925,0.387,12.521,1
18,E,HM-E441,34.808,56.168,2.45,0.0267,4.004,199.014,1011.875,13.296,7.161,925.179,1.004,21.558,1.259,13.036,1
18,F,HM-F087,35.363,56.966,2.206,0.0221,2.864,248.541,1012.91,13.366,6.587,946.013,1.0394,16.733,0.513,13.083,1
19,A,HM-A104,35.675,42.7,2.845,0.0217,3.529,206.359,1013.897,14.97,7.061,918.832,0.9161,22.941,0.891,11.678,1
19,B,HM-B210,36.496,51.983,2.438,0.0154,3.357,192.5,1012.033,14.255,6.681,945.668,0.9671,22.528,0.961,12.519,1
19,C,HM-C305,36.774,47.174,2.755,0.0247,3.711,184.901,1016.161,13.349,6.766,970.95,0.9346,18.396,0.438,10.987,1
19,D,HM-D118,35.15,54.339,3.052,0.0131,3.921,202.265,1013.318,15.129,6.456,955.268,1.0233,31.814,0.984,12.906,1
19,E,HM-E441,36.449,48.012,2.77,0.0144,3.305,241.174,1015.604,15.957,6.175,907.669,1.0775,26.039,1.075,11.978,1
19,F,HM-F087,34.84,51.672,2.48,0.016,4.373,162.698,1012.933,14.411,7.601,923.956,1.0051,21.892,0.899,13.026,1
20,A,HM-A104,34.307,52.496,2.672,0.021,4.676,194.247,1011.935,13.101,6.955,1008.521,0.8831,22.344,1.143,11.766,1
20,B,HM-B210,35.515,46.72,2.842,0.0203,3.7,207.24,1011.041,14.869,6.855,899.234,0.9766,22.51,1.749,10.844,1
20,C,HM-C305,37.746,51.707,2.43,0.0157,3.996,225.004,1012.19,14.637,7.656,962.962,0.9163,22.659,0.97,10.706,1
20,D,HM-D118,35.699,51.233,3.208,0.0173,3.729,205.189,1011.689,13.691,6.139,973.561,1.0205,20.96,0.741,12.403,1
20,E,HM-E441,35.622,54.215,2.882,0.0179,3.681,231.266,1015.348,14.492,6.874,930.634,0.9803,21.574,0.718,10.71,1
20,F,HM-F087,35.141,55.312,2.82,0.0127,3.09,206.338,1013.516,15.54,6.982,932.947,0.9602,26.321,0.583,12.336,1
21,A,HM-A104,35.316,56.896,3.25,0.016,3.389,202.625,1012.543,15.659,6.57,927.389,1.0196,32.736,1.351,10.195,1
21,B,HM-B210,35.159,47.675,2.338,0.0225,4.77,148.307,1012.419,15.473,6.904,989.887,1.0457,22.741,1.029,12.215,1
21,C,HM-C305,38.864,55.239,2.142,0.0189,3.589,176.114,1012.842,15.7,7.866,955.2,0.9927,26.331,0.19,12.035,1
21,D,HM-D118,35.96,53.702,2.937,0.0208,3.773,220.77,1013.365,14.827,7.32,1003.652,0.9837,26.518,1.123,11.245,1
21,E,HM-E441,32.437,47.906,2.628,0.0214,3.933,207.242,1013.213,13.813,6.578,994.922,1.0028,14.317,0.306,9.635,1
21,F,HM-F087,37.073,51.656,2.692,0.0266,3.667,209.889,1011.618,14.602,6.915,939.715,1.0796,27.391,1.297,11.067,1
22,A,HM-A104,36.092,57.464,2.799,0.0228,3.876,192.323,1013.288,11.815,6.965,916.079,0.983,20.723,0.907,13.249,1
22,B,HM-B210,37.661,46.343,2.588,0.0186,3.201,219.598,1012.761,14.49,7.069,967.659,1.0022,19.164,0.815,11.82,1
22,C,HM-C305,36.387,52.785,2.971,0.0102,3.387,211.053,1012.792,13.014,6.947,958.764,0.9774,23.027,0.724,10.798,1
22,D,HM-D118,38.909,43.742,2.752,0.0148,4.109,147.262,1014.827,16.249,6.354,988.409,0.9566,28.694,0.992,12.25,1
22,E,HM-E441,36.509,52.029,2.933,0.0065,3.479,213.852,1011.415,14.934,6.531,974.95,1.0566,27.541,0.98,11.258,1
22,F,HM-F087,35.558,59.229,1.964,0.0251,4.369,217.761,1012.84,14.211,7.284,918.685,1.0132,27.298,0.568,11.473,1
23,A,HM-A104,37.016,47.574,2.648,0.0129,3.361,158.76,1012.765,15.196,7.053,972.525,1.0429,26.804,1.299,12.165,1
23,B,HM-B210,36.336,61.424,3.115,0.0207,2.76,207.249,1014.794,10.942,7.299,947.758,1.035,19.065,1.385,12.634,1
23,C,HM-C305,36.519,48.273,2.051,0.0223,3.161,153.756,1013.433,13.882,6.698,962.911,1.0417,27.418,0.522,12.996,1
23,D,HM-D118,35.77,53.52,3.145,0.0255,4.522,203.837,1013.654,11.763,7.229,929.445,0.9462,30.798,1.449,10.008,1
23,E,HM-E441,34.195,50.593,2.645,0.0171,3.252,212.797,1013.081,12.806,7.044,1000.003,1.0665,22.457,1.143,12.586,1
23,F,HM-F087,36.264,46.03,3.085,0.0278,3.714,256.621,1012.595,14.831,7.2,936.09,1.0199,15.205,0.691,11.855,1
24,A,HM-A104,35.679,45.147,2.896,0.0199,4.602,224.793,1010.598,13.909,7.284,948.337,1.0421,29.031,0.898,11.904,1
24,B,HM-B210,34.483,46.965,3.328,0.027,3.266,238.576,1013.748,11.685,6.765,920.394,0.981,27.964,0.789,14.068,1
24,C,HM-C305,34.761,55.766,2.832,0.0132,4.269,179.121,1015.571,15.397,7.331,974.792,1.0433,15.628,0.623,11.159,1
24,D,HM-D118,33.851,52.592,2.483,0.0171,3.626,178.541,1013.634,14.35,6.239,984.686,1.0116,20.12,0.898,13.524,1
24,E,HM-E441,35.944,52.775,2.869,0.0282,4.526,172.34,1013.013,17.36,6.876,885.336,0.9941,11.51,1.227,12.321,1
24,F,HM-F087,35.531,51.9,2.284,0.0194,3.513,205.117,1013.051,16.623,7.129,892.155,1.0343,33.373,0.159,13.369,1
25,A,HM-A104,34.885,46.131,3.358,0.0141,4.444,219.895,1012.996,13.752,6.459,933.393,1.0361,19.315,1.546,12.171,1
25,B,HM-B210,37.86,55.498,2.426,0.0226,3.905,217.164,1013.299,13.197,6.422,937.322,0.9795,28.981,1.116,11.702,1
25,C,HM-C305,35.693,48.634,2.659,0.0193,3.85,175.673,1011.78,10.367,6.679,1027.939,1.0167,34.055,1.895,10.448,1
25,D,HM-D118,34.938,52.393,2.09,0.0228,3.763,155.301,1014.449,12.292,6.636,924.929,1.0152,22.669,0.168,10.102,1
25,E,HM-E441,33.788,46.543,3.255,0.0236,3.993,250.483,1013.926,11.43,7.342,947.734,0.9548,24.535,0.611,14.706,1
25,F,HM-F087,35.379,52.855,2.194,0.0196,3.768,222.685,1012.302,14.326,6.191,987.86,1.0355,31.855,1.144,12.164,1
26,A,HM-A104,36.325,52.048,2.157,0.022,4.391,178.515,1014.125,13.8,6.854,947.834,1.0145,27.713,1.458,11.939,1
26,B,HM-B210,36.56,49.995,3.226,0.022,3.049,200.752,1012.299,13.121,7.408,905.726,0.9727,24.51,1.765,12.221,1
26,C,HM-C305,36.349,50.254,2.782,0.0236,3.741,183.258,1011.745,14.34,6.86,896.966,1.0105,26.192,1.012,11.374,1
26,D,HM-D118,36.366,52.154,2.936,0.0212,3.328,206.813,1013.132,14.168,6.999,945.701,0.9653,19.03,1.354,11.283,1
26,E,HM-E441,36.66,52.717,2.63,0.0223,4.17,186.534,1012.304,15.45,6.295,962.407,1.0313,21.015,1.002,13.792,1
26,F,HM-F087,36.856,54.875,2.917,0.0219,3.701,160.51,1013.491,13.922,7.219,957.124,1.0422,18.246,0.799,11.505,1
27,A,HM-A104,37.54,48.315,3.183,0.019,4.166,241.161,1014.052,14.024,7.487,955.294,1.0017,23.764,1.536,14.663,1
27,B,HM-B210,35.042,52.259,2.916,0.0192,3.765,204.384,1012.925,14.078,6.377,1006.948,0.9639,15.192,0.451,11.649,1
27,C,HM-C305,36.699,52.137,2.485,0.0249,3.445,232.941,1013.427,12.969,6.761,937.813,1.0031,24.171,0.743,11.589,1
27,D,HM-D118,36.246,54.6,2.203,0.0107,4.457,199.875,1013.277,13.819,7.152,999.616,1.056,24.42,0.816,11.28,1
27,E,HM-E441,35.747,53.921,2.428,0.0288,3.463,222.214,1012.675,12.971,6.892,985.232,1.0345,19.832,1.375,13.404,1
27,F,HM-F087,34.893,49.902,2.644,0.0163,3.944,181.802,1012.353,14.71,6.87,957.872,1.0347,28.828,1.724,12.462,1
28,A,HM-A104,35.4,49.581,2.892,0.0224,4.049,246.29,1012.994,12.098,7.248,924.242,1.0115,15.016,0.737,13.288,1
28,B,HM-B210,35.742,49.797,2.511,0.0215,4.097,215.954,1013.624,14.819,6.811,945.252,0.9834,24.165,0.99,12.909,1
