tick,node_id,Helmet_ID,Temp_C,Humidity_Percent,CH4_ppm,H2S_ppm,CO_ppm,VOC_ppm,Pressure_hPa,Mud_Level_cm,Mud_Viscosity_Index,Mud_Salinity_uS_cm,Accel_Z_g,Light_lux,Impact_N,Fluid_Level_cm,node_online
0,A,HM-A104,35.001,44.131,2.221,0.0179,3.368,172.783,1012.759,13.028,7.286,1010.904,0.9853,25.483,0.545,12.778,1
0,B,HM-B210,36.823,46.292,2.886,0.0144,3.452,199.464,1013.918,14.571,7.232,937.567,1.001,25.044,1.203,12.361,1
0,C,HM-C305,34.502,38.725,2.479,0.0278,2.565,166.301,1014.13,15.564,7.587,998.629,1.0081,20.718,0.932,11.938,1
0,D,HM-D118,34.5,46.309,2.406,0.0143,4.171,177.745,1011.789,13.245,6.684,880.901,1.0247,10.721,0.808,11.937,1
0,E,HM-E441,34.344,43.015,2.692,0.0144,4.093,154.54,1013.397,16.49,6.778,936.837,0.9932,23.151,0.162,14.659,1
0,F,HM-F087,33.191,46.019,2.494,0.0142,3.366,181.643,1013.664,15.124,6.79,940.29,1.0,24.177,0.743,12.933,1
1,A,HM-A104,35.163,48.626,2.626,0.0117,3.858,170.205,1013.925,14.07,7.064,892.122,0.9998,30.84,1.161,12.028,1
1,B,HM-B210,34.605,48.853,2.64,0.019,3.668,180.926,1013.92,15.582,7.243,960.817,0.9618,28.854,0.679,13.27,1
1,C,HM-C305,35.423,47.998,2.721,0.0159,3.785,164.702,1012.598,16.91,6.44,982.876,1.0204,22.796,0.323,12.298,1
1,D,HM-D118,33.904,52.204,2.43,0.0261,3.471,161.721,1012.421,14.123,7.628,987.866,1.0395,18.917,0.758,11.679,1
1,E,HM-E441,36.559,43.361,2.74,0.0188,3.064,184.568,1012.209,14.966,6.973,981.964,1.0037,18.547,0.82,11.808,1
1,F,HM-F087,36.065,48.712,2.755,0.0214,3.244,186.603,1013.707,13.345,7.357,940.881,1.0079,19.802,1.194,10.372,1
2,A,HM-A104,36.107,41.41,2.243,0.0117,4.215,208.35,1012.224,13.029,6.781,963.134,0.9453,18.82,0.76,11.853,1
2,B,HM-B210,35.385,46.063,2.586,0.0156,3.434,190.505,1012.549,15.397,6.188,965.064,1.0281,21.164,0.602,13.177,1
2,C,HM-C305,34.879,41.902,2.709,0.0146,3.085,164.539,1012.263,15.286,7.426,991.894,0.9753,33.49,0.726,12.577,1
2,D,HM-D118,34.859,41.126,2.381,0.018,3.958,170.227,1012.742,13.461,7.004,922.352,1.0469,18.481,1.481,11.38,1
2,E,HM-E441,35.481,38.148,2.673,0.0245,3.931,204.737,1014.585,14.582,7.574,957.384,0.9677,27.099,0.554,10.897,1
2,F,HM-F087,34.467,47.808,2.545,0.0179,3.795,167.801,1012.718,16.28,6.568,975.389,0.9745,26.777,0.498,12.913,1
3,A,HM-A104,36.469,44.989,2.764,0.0141,3.88,185.488,1012.877,13.733,7.997,1028.854,0.9329,18.968,0.672,13.104,1
3,B,HM-B210,34.876,44.543,2.175,0.0169,3.63,170.683,1014.755,15.194,7.212,955.549,1.0036,22.124,1.201,13.059,1
3,C,HM-C305,34.441,47.264,2.491,0.0187,4.206,191.148,1013.029,14.307,6.672,916.963,0.9883,25.241,1.232,13.424,1
3,D,HM-D118,33.828,45.425,2.328,0.0199,3.622,161.006,1013.164,14.513,7.27,972.528,1.0138,35.306,0.642,12.44,1
3,E,HM-E441,35.052,44.093,2.9,0.0222,3.281,164.444,1014.032,14.303,6.15,902.996,1.0271,25.826,0.682,11.962,1
3,F,HM-F087,35.076,44.384,2.375,0.0192,3.438,154.442,1012.616,15.016,7.767,902.566,1.0089,40.051,0.836,11.478,1
4,A,HM-A104,34.848,46.781,2.152,0.0184,3.508,172.144,1013.048,11.629,7.258,982.614,0.98,32.99,1.089,11.209,1
4,B,HM-B210,35.614,44.195,2.734,0.0118,3.278,178.821,1013.726,13.934,7.166,930.948,0.9494,16.498,1.479,13.403,1
4,C,HM-C305,33.933,45.458,2.239,0.0191,3.914,184.791,1013.357,11.81,7.243,954.825,0.9961,22.477,0.813,12.638,1
4,D,HM-D118,35.53,45.081,2.45,0.0157,3.645,204.109,1011.734,11.697,7.298,929.53,1.0223,29.809,1.173,11.761,1
4,E,HM-E441,34.85,46.274,2.407,0.0089,3.97,175.296,1012.63,13.816,7.313,965.299,0.982,16.172,1.131,12.692,1
4,F,HM-F087,35.15,44.798,2.731,0.0099,3.589,179.179,1013.934,12.316,7.442,903.293,1.0148,23.5,1.235,11.535,1
5,A,HM-A104,35.613,44.443,2.615,0.0202,3.401,193.45,1011.988,12.764,6.92,931.375,0.9437,26.337,1.071,11.321,1
5,B,HM-B210,35.83,46.227,2.094,0.0175,3.253,188.894,1012.695,17.392,6.456,969.975,0.9569,14.106,1.451,11.776,1
5,C,HM-C305,34.589,41.061,2.195,0.0214,3.45,200.991,1014.409,16.905,7.374,965.38,0.9874,27.217,0.752,11.939,1
5,D,HM-D118,37.231,48.145,2.32,0.0235,3.388,180.866,1013.577,17.27,6.577,893.709,0.9719,22.495,1.134,11.487,1
5,E,HM-E441,36.186,41.708,2.985,0.0136,3.648,211.727,1012.978,14.453,6.655,1011.539,1.0302,21.745,1.428,11.601,1
5,F,HM-F087,34.882,44.475,2.346,0.0175,3.385,189.441,1012.76,10.224,7.006,923.369,0.995,18.947,1.213,13.073,1
6,A,HM-A104,34.294,44.813,2.893,0.0212,3.493,173.499,1013.761,13.975,7.605,978.972,0.9147,26.956,0.987,14.762,1
6,B,HM-B210,35.403,46.155,2.609,0.0282,3.631,141.03,1013.704,13.984,6.631,911.009,0.9985,23.159,0.992,12.501,1
6,C,HM-C305,36.522,49.702,2.394,0.0161,3.507,141.022,1013.033,12.035,6.994,956.591,0.9641,19.825,1.366,12.534,1
6,D,HM-D118,34.821,47.265,2.288,0.0173,3.565,169.463,1012.939,14.738,6.511,976.813,1.0164,27.631,0.375,12.006,1
6,E,HM-E441,36.002,38.04,2.242,0.0132,2.992,170.408,1013.103,14.927,6.867,1012.451,1.0467,19.732,1.014,10.789,1
6,F,HM-F087,35.201,50.625,2.409,0.0171,4.023,162.601,1010.483,12.139,6.169,907.386,0.9465,31.042,0.716,10.934,1
7,A,HM-A104,34.224,48.636,2.498,0.0242,3.786,178.59,1012.328,12.206,8.055,929.827,1.021,27.571,1.595,12.534,1
7,B,HM-B210,35.848,49.613,1.847,0.0162,3.465,202.635,1013.703,13.139,7.327,1004.474,0.9786,31.498,0.838,11.048,1
7,C,HM-C305,32.977,46.569,2.456,0.0251,2.929,189.603,1013.918,14.531,7.099,980.661,1.0074,24.5,0.794,11.886,1
7,D,HM-D118,36.522,38.483,2.688,0.0251,3.676,194.698,1011.982,15.084,8.096,914.007,1.0471,24.185,1.409,11.429,1
7,E,HM-E441,34.28,45.405,2.364,0.0134,2.979,197.728,1012.071,11.883,6.87,976.489,1.0581,22.759,1.611,13.68,1
7,F,HM-F087,36.039,45.968,2.273,0.0165,4.081,172.857,1014.076,13.862,7.075,889.451,0.9641,21.329,0.905,10.636,1
8,A,HM-A104,35.162,49.995,2.198,0.0112,3.53,190.708,1013.227,13.794,7.148,913.327,0.9871,19.078,0.832,11.961,1
8,B,HM-B210,35.877,46.608,2.437,0.0194,3.229,177.011,1010.091,16.214,7.268,974.388,0.9569,27.016,0.525,12.313,1
8,C,HM-C305,35.092,43.465,2.625,0.0178,3.396,174.027,1011.662,12.471,7.101,1002.798,0.9985,24.369,0.749,11.76,1
8,D,HM-D118,35.564,47.881,2.865,0.0183,3.938,173.12,1013.698,13.717,7.037,989.514,1.0475,25.507,0.458,10.102,1
8,E,HM-E441,35.984,49.551,2.846,0.0202,3.77,171.521,1011.838,12.804,6.834,959.195,0.9919,24.707,1.166,13.777,1
8,F,HM-F087,34.098,50.593,2.692,0.0172,3.043,192.668,1011.952,15.4,6.791,1016.46,1.0501,17.433,0.605,12.227,1
9,A,HM-A104,33.887,47.92,2.792,0.0229,3.179,183.654,1013.989,16.421,6.209,954.443,1.0163,31.8,1.009,12.882,1
9,B,HM-B210,36.452,42.299,2.604,0.0151,3.716,173.069,1013.098,12.798,6.745,928.77,1.0101,21.955,1.206,11.719,1
9,C,HM-C305,35.386,43.181,2.755,0.0189,3.513,173.583,1013.81,14.932,6.965,925.07,1.0373,22.998,1.13,9.913,1
9,D,HM-D118,35.36,49.489,2.875,0.0145,3.846,183.757,1011.474,15.712,6.678,954.827,0.9616,23.705,0.943,10.97,1
9,E,HM-E441,35.342,45.087,2.812,0.0224,3.618,200.053,1011.601,13.125,6.604,958.609,1.0416,20.67,1.129,13.379,1
9,F,HM-F087,35.484,47.267,2.779,0.0153,3.322,213.613,1011.539,13.299,7.768,900.582,0.9489,18.837,1.646,10.429,1
10,A,HM-A104,35.188,46.948,2.572,0.016,3.683,193.488,1013.057,12.615,7.742,942.44,0.9675,33.614,0.823,10.429,1
10,B,HM-B210,34.31,43.068,2.483,0.0169,3.457,190.044,1012.67,12.448,6.668,940.084,1.0215,25.805,1.062,11.084,1
10,C,HM-C305,33.533,45.24,2.493,0.017,3.886,181.723,1013.061,14.762,7.177,953.466,1.0187,29.017,0.866,12.52,1
10,D,HM-D118,34.429,47.107,2.35,0.0142,3.081,178.115,1014.103,16.118,7.573,929.872,0.9668,16.553,0.858,14.128,1
10,E,HM-E441,35.996,48.122,2.353,0.0195,2.492,182.528,1012.773,16.533,6.595,1022.709,0.959,27.046,1.024,11.05,1
10,F,HM-F087,35.012,49.63,2.688,0.0203,3.69,185.591,1012.804,12.718,7.79,955.056,1.0068,20.745,0.281,10.024,1
11,A,HM-A104,34.823,39.307,2.285,0.0138,3.618,182.383,1011.718,14.251,7.252,990.086,0.9837,37.96,1.071,11.782,1
11,B,HM-B210,35.203,44.293,2.641,0.019,3.83,152.462,1011.784,12.152,6.751,915.545,0.9707,25.133,0.746,12.757,1
11,C,HM-C305,35.705,49.725,2.591,0.0215,3.469,174.179,1012.084,12.949,7.181,941.91,1.0416,30.566,1.282,11.878,1
11,D,HM-D118,34.87,40.378,2.897,0.0124,3.518,179.78,1013.686,13.407,6.763,953.572,0.9641,19.343,0.206,13.683,1
11,E,HM-E441,32.829,40.782,2.744,0.017,3.528,175.23,1013.552,15.272,7.612,901.2,0.9546,24.441,1.218,13.394,1
